,method,problem,tol,dt,quad_nodes,nvars,new_max,sdc_sum,new_sum,norm
93,sdc_newton,fisher,1e-12,0.0005,3,63,5,1000,1800,2.4554902477796903e-05
94,sdc_newton,fisher,1e-12,0.0005,3,63,10,1000,1800,2.4554902477796903e-05
95,sdc_newton,fisher,1e-12,0.0005,3,63,30,1000,1800,2.4554902477796903e-05
96,sdc_newton,fisher,1e-12,0.0005,3,127,1,1326,1126,6.161686410544043e-06
97,sdc_newton,fisher,1e-12,0.0005,3,127,2,1352,2304,6.161686410544043e-06
98,sdc_newton,fisher,1e-12,0.0005,3,127,3,1352,2703,6.161686410544043e-06
99,sdc_newton,fisher,1e-12,0.0005,3,127,5,1352,2703,6.161686410544043e-06
100,sdc_newton,fisher,1e-12,0.0005,3,127,10,1352,2703,6.161686410544043e-06
101,sdc_newton,fisher,1e-12,0.0005,3,127,30,1352,2703,6.161686410544043e-06
102,sdc_newton,fisher,1e-12,0.0005,3,255,1,1999,1799,1.5412943607240326e-06
103,sdc_newton,fisher,1e-12,0.0005,3,255,2,1999,3598,1.5412943607795437e-06
104,sdc_newton,fisher,1e-12,0.0005,3,255,3,1999,3997,1.5412943607795437e-06
105,sdc_newton,fisher,1e-12,0.0005,3,255,5,1999,3997,1.5412943607795437e-06
106,sdc_newton,fisher,1e-12,0.0005,3,255,10,1999,3997,1.5412943607795437e-06
107,sdc_newton,fisher,1e-12,0.0005,3,255,30,1999,3997,1.5412943607795437e-06
108,sdc_newton,fisher,1e-12,0.0005,4,63,1,1000,800,2.455490247738057e-05
109,sdc_newton,fisher,1e-12,0.0005,4,63,2,1000,1600,2.4554902477408325e-05
110,sdc_newton,fisher,1e-12,0.0005,4,63,3,1000,1800,2.4554902477408325e-05
111,sdc_newton,fisher,1e-12,0.0005,4,63,5,1000,1800,2.4554902477408325e-05
112,sdc_newton,fisher,1e-12,0.0005,4,63,10,1000,1800,2.4554902477408325e-05
113,sdc_newton,fisher,1e-12,0.0005,4,63,30,1000,1800,2.4554902477408325e-05
114,sdc_newton,fisher,1e-12,0.0005,4,127,1,1200,1000,6.161686410655065e-06
115,sdc_newton,fisher,1e-12,0.0005,4,127,2,1200,2000,6.161686410655065e-06
116,sdc_newton,fisher,1e-12,0.0005,4,127,3,1200,2200,6.161686410655065e-06
117,sdc_newton,fisher,1e-12,0.0005,4,127,5,1200,2200,6.161686410655065e-06
118,sdc_newton,fisher,1e-12,0.0005,4,127,10,1200,2200,6.161686410655065e-06
119,sdc_newton,fisher,1e-12,0.0005,4,127,30,1200,2200,6.161686410655065e-06
120,sdc_newton,fisher,1e-12,0.0005,4,255,1,1800,1600,1.5412943608350549e-06
121,sdc_newton,fisher,1e-12,0.0005,4,255,2,1800,3200,1.5412943607517882e-06
122,sdc_newton,fisher,1e-12,0.0005,4,255,3,1800,3699,1.5412943607517882e-06
