,method,problem,tol,dt,quad_nodes,nvars,sdc_max,sdc_sum,new_sum,norm
82,newton_sdc,allencahn,1e-12,5e-05,2,"(128, 128)",10,1642,403,2.534952803223689e-09
83,newton_sdc,allencahn,1e-12,5e-05,2,"(128, 128)",20,1642,403,2.534952803223689e-09
84,newton_sdc,allencahn,1e-12,5e-05,2,"(256, 256)",1,1016,1216,2.5325863628467005e-09
85,newton_sdc,allencahn,1e-12,5e-05,2,"(256, 256)",2,1130,724,2.5322814956041384e-09
86,newton_sdc,allencahn,1e-12,5e-05,2,"(256, 256)",3,1256,602,2.5322387520176903e-09
87,newton_sdc,allencahn,1e-12,5e-05,2,"(256, 256)",5,1648,402,2.53218013224199e-09
88,newton_sdc,allencahn,1e-12,5e-05,2,"(256, 256)",10,1665,402,2.532179910197385e-09
89,newton_sdc,allencahn,1e-12,5e-05,2,"(256, 256)",20,1665,402,2.532179910197385e-09
90,newton_sdc,allencahn,1e-12,5e-05,3,"(64, 64)",1,1026,1226,6.823430709346212e-13
91,newton_sdc,allencahn,1e-12,5e-05,3,"(64, 64)",2,1217,807,2.650657471292561e-13
92,newton_sdc,allencahn,1e-12,5e-05,3,"(64, 64)",3,1399,603,2.2898349882893854e-13
93,newton_sdc,allencahn,1e-12,5e-05,3,"(64, 64)",5,1790,403,2.158828671383617e-13
94,newton_sdc,allencahn,1e-12,5e-05,3,"(64, 64)",10,1818,402,2.1610491174328672e-13
95,newton_sdc,allencahn,1e-12,5e-05,3,"(64, 64)",20,1818,402,2.1604940059205546e-13
96,newton_sdc,allencahn,1e-12,5e-05,3,"(128, 128)",1,1030,1230,9.14074371749507e-13
97,newton_sdc,allencahn,1e-12,5e-05,3,"(128, 128)",2,1222,810,3.941569293175462e-13
98,newton_sdc,allencahn,1e-12,5e-05,3,"(128, 128)",3,1416,606,3.5232927686479343e-13
99,newton_sdc,allencahn,1e-12,5e-05,3,"(128, 128)",5,1810,404,3.2943092698189957e-13
100,newton_sdc,allencahn,1e-12,5e-05,3,"(128, 128)",10,1835,402,3.3048563885529347e-13
101,newton_sdc,allencahn,1e-12,5e-05,3,"(128, 128)",20,1839,402,3.3054115000652473e-13
102,newton_sdc,allencahn,1e-12,5e-05,3,"(256, 256)",1,1028,1228,9.94704318912909e-13
103,newton_sdc,allencahn,1e-12,5e-05,3,"(256, 256)",2,1220,809,4.636291350834654e-13
104,newton_sdc,allencahn,1e-12,5e-05,3,"(256, 256)",3,1414,605,4.205524817280093e-13
105,newton_sdc,allencahn,1e-12,5e-05,3,"(256, 256)",5,1810,404,3.902433931557425e-13
106,newton_sdc,allencahn,1e-12,5e-05,3,"(256, 256)",10,1833,402,3.913536161803677e-13
107,newton_sdc,allencahn,1e-12,5e-05,3,"(256, 256)",20,1837,402,3.913813717559833e-13
108,newton_sdc,allencahn,1e-12,5e-05,4,"(64, 64)",1,834,1034,2.4962809597184332e-12
109,newton_sdc,allencahn,1e-12,5e-05,4,"(64, 64)",2,1021,613,2.644551244657123e-13
110,newton_sdc,allencahn,1e-12,5e-05,4,"(64, 64)",3,1215,603,2.1826984664130578e-13
111,newton_sdc,allencahn,1e-12,5e-05,4,"(64, 64)",5,1422,403,2.1116441928370477e-13
112,newton_sdc,allencahn,1e-12,5e-05,4,"(64, 64)",10,1443,402,2.1105339698124226e-13
113,newton_sdc,allencahn,1e-12,5e-05,4,"(64, 64)",20,1443,402,2.1116441928370477e-13
114,newton_sdc,allencahn,1e-12,5e-05,4,"(128, 128)",1,839,1039,2.58792987040124e-12
115,newton_sdc,allencahn,1e-12,5e-05,4,"(128, 128)",2,1030,616,3.898548150971237e-13
116,newton_sdc,allencahn,1e-12,5e-05,4,"(128, 128)",3,1225,606,3.517186542012496e-13
117,newton_sdc,allencahn,1e-12,5e-05,4,"(128, 128)",5,1426,404,2.97761815204467e-13
118,newton_sdc,allencahn,1e-12,5e-05,4,"(128, 128)",10,1444,402,2.948752353404416e-13
119,newton_sdc,allencahn,1e-12,5e-05,4,"(128, 128)",20,1451,402,2.948752353404416e-13
120,newton_sdc,allencahn,1e-12,5e-05,4,"(256, 256)",1,841,1041,2.628453010800058e-12
121,newton_sdc,allencahn,1e-12,5e-05,4,"(256, 256)",2,1034,620,4.472533454702443e-13
122,newton_sdc,allencahn,1e-12,5e-05,4,"(256, 256)",3,1228,607,4.0573100434926346e-13
123,newton_sdc,allencahn,1e-12,5e-05,4,"(256, 256)",5,1427,405,3.5205172110863714e-13
124,newton_sdc,allencahn,1e-12,5e-05,4,"(256, 256)",10,1444,402,3.483879851273741e-13
125,newton_sdc,allencahn,1e-12,5e-05,4,"(256, 256)",20,1454,402,3.4849900742983664e-13
126,newton_sdc,allencahn,1e-12,5e-05,5,"(64, 64)",1,827,1027,2.279398891857909e-12
127,newton_sdc,allencahn,1e-12,5e-05,5,"(64, 64)",2,1015,610,7.749356711883593e-13
128,newton_sdc,allencahn,1e-12,5e-05,5,"(64, 64)",3,1209,601,6.97164548313367e-13
129,newton_sdc,allencahn,1e-12,5e-05,5,"(64, 64)",5,1417,402,7.28583859910259e-13
130,newton_sdc,allencahn,1e-12,5e-05,5,"(64, 64)",10,1433,402,7.286948822127215e-13
131,newton_sdc,allencahn,1e-12,5e-05,5,"(64, 64)",20,1433,402,7.286948822127215e-13
132,newton_sdc,allencahn,1e-12,5e-05,5,"(128, 128)",1,854,1054,4.916067553040193e-13
133,newton_sdc,allencahn,1e-12,5e-05,5,"(128, 128)",2,1034,619,1.1124712262500225e-12
134,newton_sdc,allencahn,1e-12,5e-05,5,"(128, 128)",3,1227,609,1.0133838213022273e-12
135,newton_sdc,allencahn,1e-12,5e-05,5,"(128, 128)",5,1430,405,1.0405010186786967e-12
136,newton_sdc,allencahn,1e-12,5e-05,5,"(128, 128)",10,1444,402,1.0436373987232628e-12
137,newton_sdc,allencahn,1e-12,5e-05,5,"(128, 128)",20,1456,402,1.0437484210257253e-12
138,newton_sdc,allencahn,1e-12,5e-05,5,"(256, 256)",1,903,1103,2.820244038304054e-13
139,newton_sdc,allencahn,1e-12,5e-05,5,"(256, 256)",2,1043,623,1.1558531909372505e-12
140,newton_sdc,allencahn,1e-12,5e-05,5,"(256, 256)",3,1237,609,1.0530187832813453e-12
141,newton_sdc,allencahn,1e-12,5e-05,5,"(256, 256)",5,1437,406,1.0801359806578148e-12
142,newton_sdc,allencahn,1e-12,5e-05,5,"(256, 256)",10,1450,402,1.0840495168196185e-12
143,newton_sdc,allencahn,1e-12,5e-05,5,"(256, 256)",20,1468,402,1.0841050279708497e-12
